IHC,result,error
1000,52.9028939394,0.006871405188240431
1050,52.8939825567,0.007053069822981326
1100,52.8850711739,0.002031410718894559
1150,52.8761597912,0.000684334675060744
1200,52.8672484085,0.004522348439631219
1250,52.8583370257,0.002336468055392272
1300,52.849425643,0.004819919903801163
1350,52.8405142602,0.0036619756935465427
1400,52.8316028775,0.00046668431691093476
1450,52.8226914948,0.0018225637265241968
1500,52.813780112,0.0005654937288624191
1550,52.8048687293,0.002013202869882264
1600,52.7959573466,0.0006737838412119805
1650,52.7870459638,0.0007314841600370389
1700,52.7781345811,0.0001407881655507624
1750,52.7692231984,0.00011613945336780613
1800,52.7603118156,0.003637515105226655
1850,52.7514004329,0.00012996987031624034
1900,52.7424890502,0.00015597637403581412
1950,52.7335776674,4.124635563243451e-05
2000,52.7246662847,0.0006084256006867708
2050,52.715754902,0.0011727267397188114
2100,52.7068435192,0.00028370413991090656
2150,52.6979321365,0.00048699059985566245
2200,52.6890207538,0.0004401287729665346
2250,52.680109371,0.0008934497007549496
2300,52.6711979883,7.74754102103242e-05
2350,52.6622866056,0.0014223001208465546
2400,52.6533752228,0.000708878760078955
2450,52.6444638401,0.00207354186012887
2500,52.6355524573,0.0005976823417935412
2550,52.6266410746,0.004014353426371001
2600,52.6177296919,0.0010413727863728228
2650,52.6088183091,1.396393284395098e-06
2700,52.5999069264,0.0003962857189687537
2750,52.5909955437,8.108023376363219e-05
2800,52.5820841609,0.0007792940705888678
2850,52.5731727782,0.001356244265349087
2900,52.5642613955,0.001277247853950546
2950,52.5553500127,0.004270624164112136
3000,52.54643863,0.0011263655564520047
3050,52.5375272473,0.001803934725102243
3100,52.5286158645,0.0008188677026600249
3150,52.5197044818,0.0036355495158925427
3200,52.5107930991,6.290061153959105e-07
3250,52.5018817163,0.0017540781621457444
3300,52.4929703336,0.002211789522832148
3350,52.4840589509,0.0006729380308467362
3400,52.4751475681,0.003008789283359786
3450,52.4662361854,0.0028905477621527674
3500,52.4573248026,0.005281684310113662
3550,52.4484134199,0.00013424883810435768
3600,52.4395020372,0.0016400849926965673
3650,52.4305906544,0.00011216196154217051
3700,52.4216792717,0.0008020636509547748
3750,52.412767889,0.0007415878709487705
3800,52.4038565062,0.0005691328899212508
3850,52.3949451235,0.00122884436615865
3900,52.3860337408,1.5731212287826687e-05
3950,52.377122358,5.072798396523821e-05
4000,52.3682109753,0.0001389811033976617
4050,52.3592995926,8.648242186046854e-05
4100,52.3503882098,0.0009234432966302679
4150,52.3414768271,2.1810182667339485e-06
4200,52.3325654444,0.001401345956002889
4250,52.3236540616,0.00026718970137335775
4300,52.3147426789,2.7639425257249337e-05
4350,52.3058312962,1.737809174948016e-05
4400,52.2969199134,0.0018558938597548224
4450,52.2880085307,0.0010234541089377486
4500,52.279097148,0.0037091573878240687
4550,52.2701857652,0.0008888885958091926
4600,52.2612743825,7.613640110222529e-05
4650,52.2523629997,0.0007638037830802366
4700,52.243451617,0.0007048166393648904
4750,52.2345402343,0.0012573949852407195
4800,52.2256288515,1.9106938854722664e-05
4850,52.2167174688,0.00017642563492961433
4900,52.2078060861,0.0004925698155008578
4950,52.1988947033,1.2216807159225848e-06
5000,52.1899833206,0.0009010010421498686
5050,52.1810719379,0.0015153940215111592
5100,52.1721605551,0.00031824579323221357
5150,52.1632491724,0.0007156067774915774
5200,52.1543377897,0.0020850374530226056
5250,52.1454264069,0.0041697489224463815
5300,52.1365150242,0.0005515440887305265
5350,52.1276036415,0.0017974512177501248
5400,52.1186922587,0.005084793966230715
5450,52.109780876,0.010043872818001776
5500,52.1008694933,8.336615347982866e-05
5550,52.0919581105,0.0017604830381431598
5600,52.0830467278,0.0018530207727307597
5650,52.074135345,0.0001998079795980074
5700,52.0652239623,0.0012407275209638977
5750,52.0563125796,1.359706937463902e-05
5800,52.0474011968,0.0022468734620799072
5850,52.0384898141,0.0008116695078719138
5900,52.0295784314,1.7772010774164116e-07
5950,52.0206670486,4.449538848323756e-07
6000,52.0117556659,0.001743535634971253
6050,52.0028442832,0.00016497561009211372
6100,51.9939329004,0.0005727837231261774
6150,51.9850215177,0.000626076347905315
6200,51.976110135,3.733374926566734e-05
6250,51.9671987522,0.000519896899957608
6300,51.9582873695,6.868049311581679e-05
6350,51.9493759868,0.002437988068348747
6400,51.940464604,0.000928092098297825
6450,51.9315532213,0.00013347692213878451
6500,51.9226418386,0.003923999937361386
6550,51.9137304558,0.0011377436497290296
6600,51.9048190731,0.0020087493120789696
6650,51.8959076903,0.000253054612231631
6700,51.8869963076,0.0007288006247812061
6750,51.8780849249,0.0023121600006121823
6800,51.8691735421,0.002418037246988841
6850,51.8602621594,0.0009157982921020846
6900,51.8513507767,0.005090933332009706
6950,51.8424393939,0.00389867791550357
