IHC,cooling,heating
300,46.48,5.26
315,46.47,5.21
330,46.48,5.21
345,46.45,5.08
360,46.42,5.05
375,46.44,5.06
390,46.43,5.09
405,46.42,5.08
420,46.44,5.08
435,46.42,5.08
450,46.41,5.02
465,46.4,5.03
480,46.4,5.03
495,46.39,5.01
510,46.41,5
525,46.39,4.93
540,46.37,5.01
555,46.37,4.96
570,46.36,4.9
585,46.36,4.87
600,46.34,4.9
615,46.35,4.85
630,46.33,4.82
645,46.34,4.86
660,46.35,4.89
675,46.33,4.8
690,46.31,4.8
705,46.3,4.76
720,46.3,4.77
735,46.3,4.81
750,46.29,4.79
765,46.29,4.75
780,46.28,4.76
795,46.26,4.77
810,46.25,4.76
825,46.25,4.74
840,46.25,4.74
855,46.23,4.66
870,46.21,4.62
885,46.19,4.62
900,46.21,4.67
915,46.2,4.64
930,46.18,4.58
945,46.19,4.6
960,46.17,4.53
975,46.16,4.58
990,46.15,4.5
1005,46.15,4.53
1020,46.13,4.44
1035,46.13,4.48
1050,46.11,4.41
1065,46.09,4.52
1080,46.08,4.45
1095,46.06,4.46
1110,46.07,4.42
1125,46.05,4.39
1140,46.02,4.38
1155,46.04,4.37
1170,46.02,4.36
1185,46.02,4.42
1200,46,4.3
1215,46,4.36
1230,45.96,4.29
1245,45.98,4.32
1260,45.98,4.3
1275,45.98,4.32
1290,45.96,4.24
1305,45.94,4.24
1320,45.95,4.24
1335,45.95,4.29
1350,45.94,4.24
1365,45.91,4.16
1380,45.9,4.2
1395,45.91,4.21
1410,45.91,4.21
1425,45.87,4.09
1440,45.88,4.19
1455,45.87,4.15
1470,45.85,4.11
1485,45.81,4.19
1500,45.78,4.08
1515,45.77,4.07
1530,45.77,4.09
1545,45.76,4.07
1560,45.76,4.04
1575,45.76,4.07
1590,45.73,4.06
1605,45.77,4.08
1620,45.75,3.98
1635,45.78,3.99
1650,45.76,3.94
1665,45.75,3.97
1680,45.75,4
1695,45.73,3.96
1710,45.72,3.96
1725,45.7,3.9
1740,45.68,3.96
1755,45.68,3.95
1770,45.69,3.94
1785,45.67,3.9
1800,45.63,3.84
1815,45.65,3.88
1830,45.61,3.82
1845,45.64,3.91
1860,45.61,3.83
1875,45.61,3.79
1890,45.6,3.81
1905,45.57,3.79
1920,45.56,3.73
1935,45.56,3.75
1950,45.53,3.75
1965,45.54,3.7
1980,45.54,3.76
1995,45.53,3.69
2010,45.52,3.71
2025,45.5,3.74
2040,45.51,3.69
2055,45.52,3.71
2070,45.48,3.71
2085,45.46,3.59
