density,cooling,heating
1000,34.44,20.49
1050,34.42,20.44
1100,34.41,20.41
1150,34.33,20.24
1200,34.33,20.24
1250,34.35,20.25
1300,34.36,20.30
1350,34.36,20.29
1400,34.37,20.28
1450,34.36,20.29
1500,34.32,20.20
1550,34.35,20.25
1600,34.34,20.24
1650,34.33,20.22
1700,34.34,20.21
1750,34.30,20.12
1800,34.37,20.27
1850,34.32,20.18
1900,34.30,20.11
1950,34.29,20.07
2000,34.31,20.13
2050,34.27,20.03
2100,34.28,20.04
2150,34.29,20.07
2200,34.33,20.15
2250,34.27,20.01
2300,34.28,20.03
2350,34.24,19.95
2400,34.27,19.99
2450,34.29,20.03
2500,34.28,20.02
2550,34.26,19.97
2600,34.29,20.02
2650,34.28,20.03
2700,34.28,20.04
2750,34.25,19.99
2800,34.26,20.00
2850,34.22,19.91
2900,34.20,19.86
2950,34.23,19.90
3000,34.24,19.95
3050,34.23,19.89
3100,34.19,19.82
3150,34.21,19.84
3200,34.19,19.77
3250,34.21,19.86
3300,34.16,19.75
3350,34.20,19.82
3400,34.13,19.68
3450,34.16,19.75
3500,34.11,19.66
3550,34.16,19.83
3600,34.13,19.72
3650,34.15,19.78
3700,34.12,19.71
3750,34.10,19.67
3800,34.11,19.70
3850,34.10,19.65
3900,34.09,19.65
3950,34.13,19.75
4000,34.05,19.57
4050,34.11,19.67
4100,34.06,19.59
4150,34.08,19.63
4200,34.05,19.58
4250,34.08,19.63
4300,34.05,19.54
4350,34.04,19.54
4400,34.05,19.54
4450,34.07,19.61
4500,34.02,19.52
4550,34.00,19.46
4600,34.02,19.53
4650,34.04,19.54
4700,34.05,19.54
4750,33.96,19.38
4800,34.03,19.54
4850,34.01,19.48
4900,33.99,19.43
4950,34.04,19.54
5000,33.96,19.37
5050,33.95,19.37
5100,33.98,19.41
5150,33.96,19.37
5200,33.94,19.33
5250,33.95,19.35
5300,33.95,19.37
5350,33.99,19.41
5400,33.93,19.27
5450,33.91,19.26
5500,33.89,19.20
5550,33.93,19.30
5600,33.95,19.34
5650,33.91,19.26
5700,33.92,19.28
5750,33.88,19.20
5800,33.91,19.31
5850,33.91,19.28
5900,33.90,19.25
5950,33.85,19.19
6000,33.84,19.15
6050,33.86,19.18
6100,33.81,19.11
6150,33.88,19.24
6200,33.82,19.11
6250,33.78,19.03
6300,33.80,19.09
6350,33.83,19.09
6400,33.77,19.00
6450,33.79,19.01
6500,33.79,19.04
6550,33.47,19.04
6600,33.53,19.13
6650,33.48,19.02
6700,33.49,19.04
6750,33.51,19.08
6800,33.48,19.01
6850,33.50,19.03
6900,33.49,19.05
6950,33.43,18.88
