density,result,error
1000,34.4579517906,0.0003222667869539949
1050,34.4514049818,0.000986272883583343
1100,34.444858173,0.0012150922263832748
1150,34.4383113642,0.011731351618144778
1200,34.4317645554,0.010356024737585259
1250,34.4252177466,0.005657709404003483
1300,34.4186709378,0.003442278941936537
1350,34.412124129,0.002716924823015239
1400,34.4055773202,0.0012657457114963533
1450,34.3990305114,0.0015233808184388525
1500,34.3924837026,0.0052538871385411036
1550,34.3859368938,0.0012914603335344272
1600,34.379390085,0.0015515787931266972
1650,34.3728432762,0.0018355463115624388
1700,34.3662964673,0.0006915041949476537
1750,34.3597496585,0.003570021695782387
1800,34.3532028497,0.00028214425702591283
1850,34.3466560409,0.000710544517997809
1900,34.3401092321,0.0016087505014677054
1950,34.3335624233,0.001897684725202979
2000,34.3270156145,0.0002895311371631086
2050,34.3204688057,0.0025471003492010045
2100,34.3139219969,0.001150701873545633
2150,34.3073751881,0.0003018971612253455
2200,34.3008283793,0.0008509834551027736
2250,34.2942815705,0.0005895946649493015
2300,34.2877347617,5.982653814271807e-05
2350,34.2811879529,0.001696447461385211
2400,34.2746411441,2.154021819460026e-05
2450,34.2680943353,0.0004798581479290035
2500,34.2615475264,0.0003404937801640269
2550,34.2550007176,2.499282409031959e-05
2600,34.2484539088,0.001726077690982693
2650,34.2419071,0.0014510690281143847
2700,34.2353602912,0.0019927035996095592
2750,34.2288134824,0.0004488685272609226
2800,34.2222666736,0.0014238039203312526
2850,34.2157198648,1.8319557283491135e-05
2900,34.209173056,8.414495636626042e-05
2950,34.2026262472,0.0007493223427314311
3000,34.1960794384,0.0019290157324044165
3050,34.1895326296,0.001637608068644798
3100,34.1829858208,4.919871020554292e-05
3150,34.176439012,0.0011263399176530933
3200,34.1698922032,0.0004043234936661881
3250,34.1633453944,0.0021766522277853087
3300,34.1567985855,1.0249054480875631e-05
3350,34.1502517767,0.002474885717149634
3400,34.1437049679,0.00018782614617139897
3450,34.1371581591,0.0005217496942632486
3500,34.1306113503,0.0004248277622320995
3550,34.1240645415,0.0012913571762299158
3600,34.1175177327,0.00015580699662512957
3650,34.1109709239,0.001523268780688826
3700,34.1044241151,0.00024260819039841915
3750,34.0978773063,4.505828567528162e-06
3800,34.0913304975,0.00034855032403459927
3850,34.0847836887,0.00023153613012238735
3900,34.0782368799,0.00013837099505269445
3950,34.0716900711,0.0034000478118457822
4000,34.0651432623,0.00022931839198522995
4050,34.0585964535,0.0026423245971508684
4100,34.0520496447,6.320815017067208e-05
4150,34.0455028358,0.0011900543347281186
4200,34.038956027,0.00012196933876403756
4250,34.0324092182,0.0022648825092137525
4300,34.0258624094,0.0005826232786875253
4350,34.0193156006,0.0004278443776923252
4400,34.0127687918,0.001386162862967069
4450,34.006221983,0.00406763545141597
4500,33.9996751742,0.00041309854372075183
4550,33.9931283654,4.721936213367146e-05
4600,33.9865815566,0.0011167923599725127
4650,33.9800347478,0.00359583147339274
4700,33.973487939,0.005854095481942036
4750,33.9669411302,4.8179288052549065e-05
4800,33.9603943214,0.004844950498244815
4850,33.9538475126,0.0031531018458344534
4900,33.9473007038,0.0018232299000213114
4950,33.9407538949,0.009849789368297952
5000,33.9342070861,0.0006652744053744517
5050,33.9276602773,0.0004990632087882601
5100,33.9211134685,0.0034676235888068166
5150,33.9145666597,0.002064188408835468
5200,33.9080198509,0.0010227299354584512
5250,33.9014730421,0.00235486564211068
5300,33.8949262333,0.0030331197781634286
5350,33.8883794245,0.010326741365536097
5400,33.8818326157,0.0023200969111746668
5450,33.8752858069,0.0012050752036398592
5500,33.8687389981,0.0004520302027006751
5550,33.8621921893,0.004597899195662423
5600,33.8556453805,0.008902794227351282
5650,33.8490985717,0.0037089839738360638
5700,33.8425517629,0.005998229437029816
5750,33.836004954,0.0019355640683368974
5800,33.8294581452,0.006486990367918806
5850,33.8229113364,0.007584435321456986
5900,33.8163645276,0.006994892238671611
5950,33.8098177188,0.0016146157205774653
6000,33.80327091,0.0013490260509828305
6050,33.7967241012,0.004003839367582028
6100,33.7901772924,0.00039293973641197407
6150,33.7836304836,0.009287083691467609
6200,33.7770836748,0.001841810969333586
6250,33.770536866,8.955090536460622e-05
6300,33.7639900572,0.0012967159819023424
6350,33.7574432484,0.005264482206547367
6400,33.7508964396,0.0003649460211934902
6450,33.7443496308,0.002083956211615398
6500,33.737802822,0.0027245453958308916
6550,33.7312560131,0.0682547044065743
6600,33.7247092043,0.03791167425586713
6650,33.7181623955,0.056721326647822395
6700,33.7116155867,0.04911346828195754
6750,33.7050687779,0.038051828120940205
6800,33.6985219691,0.04775185098733587
6850,33.6919751603,0.03685446217686632
6900,33.6854283515,0.0381922405723343
6950,33.6788815427,0.06194202229662823
